book_type,full_name_de,short_name_de,full_name_en,short_name_en
Old Testament,Das 1. Buch Mose (Genesis),1. Mose,Genesis,Gen.
Old Testament,Das 2. Buch Mose (Exodus),2. Mose,Exodus,Exo.
Old Testament,Das 3. Buch Mose (Levitikus),3. Mose,Leviticus,Lev.
Old Testament,Das 4. Buch Mose (Numeri),4. Mose,Numbers,Num.
Old Testament,Das 5. Buch Mose (Deuteronomium),5. Mose,Deuteronomy,Deut.
Old Testament,Das Buch Josua, Jos.,Joshua,Josh.
Old Testament,Das Buch Richter, Ri.,Judges,Judg.
Old Testament,Das Buch Ruth, Ruth,Ruth,Ruth
Old Testament,Das 1. Buch Samuel,1. Sam.,First Samuel,1 Sam.
Old Testament,Das 2. Buch Samuel,2. Sam.,Second Samuel,2 Sam.
Old Testament,Das 1. Buch der Könige, 1.Kön.,First Kings,1 Kings
Old Testament,Das 2. Buch der Könige, 2.Kön.,Second Kings,2 Kings
Old Testament,Das 1. Buch der Chronik, 1.Chr.,First Chronicles,1 Chron.
Old Testament,Das 2. Buch der Chronik, 2.Chr.,Second Chronicles,2 Chron.
Old Testament,Das Buch Esra, Esra,Ezra,Ezra
Old Testament,Das Buch Nehemia, Neh.,Nehemiah,Neh.
Old Testament,Das Buch Esther, Esth.,Esther,Esth.
Old Testament,Das Buch Hiob, Hiob,Job,Job
Old Testament,Die Psalmen, Ps.,Psalms,Psa.
Old Testament,Die Sprüche Salomos, Spr.,Proverbs,Prov.
Old Testament,Der Prediger Salomo, Pred.,Ecclesiastes,Eccl.
Old Testament,Das Hohelied Salomos, Hld.,Song of Songs,S.S.
Old Testament,Das Buch Jesaja, Jes.,Isaiah,Isa.
Old Testament,Das Buch Jeremia, Jer.,Jeremiah,Jer.
Old Testament,Die Klagelieder des Jeremia, Klgl.,Lamentations,Lam.
Old Testament,Das Buch Hesekiel, Hes.,Ezekiel,Ezek.
Old Testament,Das Buch Daniel, Dan.,Daniel,Dan.
Old Testament,Das Buch Hosea, Hos.,Hosea,Hosea
Old Testament,Das Buch Joel, Joel,Joel,Joel
Old Testament,Das Buch Amos, Amos,Amos,Amos
Old Testament,Das Buch Obadja, Obd.,Obadiah,Obad.
Old Testament,Das Buch Jona, Jona,Jonah,Jonah
Old Testament,Das Buch Micha, Mi.,Micah,Micah
Old Testament,Das Buch Nahum, Nah.,Nahum,Nahum
Old Testament,Das Buch Habakuk, Hab.,Habakkuk,Hab.
Old Testament,Das Buch Zephania, Zeph.,Zephaniah,Zeph.
Old Testament,Das Buch Haggai, Hag.,Haggai,Hag.
Old Testament,Das Buch Sacharja, Sach.,Zechariah,Zech.
Old Testament,Das Buch Maleachi, Mal.,Malachi,Mal.
New Testament,Das Evangelium nach Matthäus,Mt.,The Gospel According to Matthew,Matt.
New Testament,Das Evangelium nach Markus,Mk.,The Gospel According to Mark,Mark
New Testament,Das Evangelium nach Lukas,Lk.,The Gospel According to Luke,Luke
New Testament,Das Evangelium nach Johannes,Joh.,The Gospel According to John,John
New Testament,Die Apostelgeschichte,Apg.,The Acts of the Apostles,Acts
New Testament,Der Brief an die Römer,Röm.,The Epistle of Paul to the Romans,Rom.
New Testament,Der 1. Brief an die Korinther,1.Kor.,The First Epistle of Paul to the Corinthians,1 Cor.
New Testament,Der 2. Brief an die Korinther,2.Kor.,The Second Epistle of Paul to the Corinthians,2 Cor.
New Testament,Der Brief an die Galater,Gal.,The Epistle of Paul to the Galatians,Gal.
New Testament,Der Brief an die Epheser,Eph.,The Epistle of Paul to the Ephesians,Eph.
New Testament,Der Brief an die Philipper,Phil.,The Epistle of Paul to the Philippians,Phil.
New Testament,Der Brief an die Kolosser,Kol.,The Epistle of Paul to the Colossians,Col.
New Testament,Der 1. Brief an die Thessalonicher,1.Thess.,The First Epistle of Paul to the Thessalonians,1 Thes.
New Testament,Der 2. Brief an die Thessalonicher,2.Thess.,The Second Epistle of Paul to the Thessalonians,2 Thes.
New Testament,Der 1. Brief an Timotheus,1.Tim.,The First Epistle of Paul to Timothy,1 Tim.
New Testament,Der 2. Brief an Timotheus,2.Tim.,The Second Epistle of Paul to Timothy,2 Tim.
New Testament,Der Brief an Titus,Tit.,The Epistle of Paul to Titus,Titus
New Testament,Der Brief an Philemon,Phlm.,The Epistle of Paul to Philemon,Philem.
New Testament,Der Brief an die Hebräer,Hebr.,The Epistle to the Hebrews,Heb.
New Testament,Der Brief des Jakobus,Jak.,The Epistle of James,James
New Testament,Der 1. Brief des Petrus,1.Petr.,The First Epistle of Peter,1 Pet.
New Testament,Der 2. Brief des Petrus,2.Petr.,The Second Epistle of Peter,2 Pet.
New Testament,Der 1. Brief des Johannes,1.Joh.,The First Epistle of John,1 John
New Testament,Der 2. Brief des Johannes,2.Joh.,The Second Epistle of John,2 John
New Testament,Der 3. Brief des Johannes,3.Joh.,The Third Epistle of John,3 John
New Testament,Der Brief des Judas,Jud.,The Epistle of Jude,Jude
New Testament,Die Offenbarung des Johannes,Offb.,Revelation,Rev.
