day,verses
1,Matt. 1:1-2:18
2,Matt. 2:19-4:25
3,Matt. 5:1-5:42
4,Matt. 5:43-7:6
5,Matt. 7:7-8:27
6,Matt. 8:28-9:38
7,Matt. 10:1-10:42
8,Matt. 11:1-12:8
9,Matt. 12:9-12:50
10,Matt. 13:1-13:52
11,Matt. 13:53-14:36
12,Matt. 15:1-16:4
13,Matt. 16:5-17:23
14,Matt. 17:24-18:35
15,Matt. 19:1-20:16
16,Matt. 20:17-21:27
17,Matt. 21:28-22:33
18,Matt. 22:34-23:36
19,Matt. 23:37-24:35
20,Matt. 24:36-25:30
21,Matt. 25:31-26:35
22,Matt. 26:36-27:14
23,Matt. 27:15-27:66
24,Matt. 28:1-28:20;Mark 1:1-1:28
25,Mark 1:29-2:12
26,Mark 2:13-3:19
27,Mark 3:20-4:34
28,Mark 4:35-5:43
29,Mark 6:1-6:44
30,Mark 6:45-7:37
31,Mark 8:1-9:6
32,Mark 9:7-9:50
33,Mark 10:1-10:40
34,Mark 10:41-11:33
35,Mark 12:1-12:44
36,Mark 13:1-13:37
37,Mark 14:1-14:42
38,Mark 14:43-14:72
39,Mark 15:1-15:47
40,Mark 16:1-16:20
41,Luke 1:1-1:45
42,Luke 1:46-1:80
43,Luke 2:1-2:52
44,Luke 3:1-3:38
45,Luke 4:1-4:44
46,Luke 5:1-5:39
47,Luke 6:1-6:49
48,Luke 7:1-7:50
49,Luke 8:1-8:56
50,Luke 9:1-9:45
51,Luke 9:46-10:29
52,Luke 10:30-11:36
53,Luke 11:37-12:12
54,Luke 12:13-12:59
55,Luke 13:1-13:35
56,Luke 14:1-14:35
57,Luke 15:1-15:32
58,Luke 16:1-16:31
59,Luke 17:1-17:37
60,Luke 18:1-18:43
61,Luke 19:1-19:48
62,Luke 20:1-20:47
63,Luke 21:1-21:38
64,Luke 22:1-22:46
65,Luke 22:47-22:71
66,Luke 23:1-23:56
67,Luke 24:1-24:53
68,John 1:1-1:51
69,John 2:1-2:25
70,John 3:1-3:36
71,John 4:1-4:54
72,John 5:1-5:47
73,John 6:1-6:40
74,John 6:41-6:71
75,John 7:1-7:53
76,John 8:1-8:59
77,John 9:1-9:41
78,John 10:1-10:42
79,John 11:1-11:57
80,John 12:1-12:50
81,John 13:1-13:38
82,John 14:1-15:27
83,John 16:1-17:26
84,John 18:1-18:40
85,John 19:1-19:42
86,John 20:1-21:25
87,Acts 1:1-1:26
88,Acts 2:1-2:47
89,Acts 3:1-4:37
90,Acts 5:1-5:42
91,Acts 6:1-7:43
92,Acts 7:44-8:40
93,Acts 9:1-9:43
94,Acts 10:1-10:48
95,Acts 11:1-12:25
96,Acts 13:1-13:52
97,Acts 14:1-15:21
98,Acts 15:22-16:24
99,Acts 16:25-17:34
100,Acts 18:1-18:28
101,Acts 19:1-19:41
102,Acts 20:1-20:38
103,Acts 21:1-21:40
104,Acts 22:1-23:11
105,Acts 23:12-24:27
106,Acts 25:1-26:32
107,Acts 27:1-27:44
108,Acts 28:1-28:31
109,Rom. 1:1-2:16
110,Rom. 2:17-3:31
111,Rom. 4:1-5:21
112,Rom. 6:1-7:25
113,Rom. 8:1-8:39
114,Rom. 9:1-10:21
115,Rom. 11:1-12:21
116,Rom. 13:1-14:23
117,Rom. 15:1-16:27
118,1 Cor. 1:1-2:16
119,1 Cor. 3:1-4:21
120,1 Cor. 5:1-6:20
121,1 Cor. 7:1-7:40
122,1 Cor. 8:1-9:27
123,1 Cor. 10:1-11:16
124,1 Cor. 11:17-12:31
125,1 Cor. 13:1-14:40
126,1 Cor. 15:1-15:49
127,1 Cor. 15:50-16:24
128,2 Cor. 1:1-2:17
129,2 Cor. 3:1-5:11
130,2 Cor. 5:12-7:16
131,2 Cor. 8:1-9:15
132,2 Cor. 10:1-11:33
133,2 Cor. 12:1-13:14
134,Gal. 1:1-2:21
135,Gal. 3:1-4:31
136,Gal. 5:1-6:18
137,Eph. 1:1-2:22
138,Eph. 3:1-4:32
139,Eph. 5:1-6:24
140,Phil. 1:1-2:30
141,Phil. 3:1-4:23
142,Col. 1:1-2:23
143,Col. 3:1-4:18
144,1 Thes. 1:1-3:13
145,1 Thes. 4:1-5:28
146,2 Thes. 1:1-3:18
147,1 Tim. 1:1-3:16
148,1 Tim. 4:1-5:25
149,1 Tim. 6:1-6:21
150,2 Tim. 1:1-2:26
151,2 Tim. 3:1-4:22
152,Titus 1:1-3:15
153,Philem. 1:1-1:25
154,Heb. 1:1-2:18
155,Heb. 3:1-4:16
156,Heb. 5:1-6:20
157,Heb. 7:1-9:15
158,Heb. 9:16-10:39
159,Heb. 11:1-11:40
160,Heb. 12:1-13:25
161,James 1:1-1:27
162,James 2:1-3:18
163,James 4:1-5:20
164,1 Pet. 1:1-2:25
165,1 Pet. 3:1-4:19
166,1 Pet. 5:1-5:14;2 Pet. 1:1-1:21
167,2 Pet. 2:1-3:18
168,1 John 1:1-2:29
169,1 John 3:1-4:21
170,1 John 5:1-5:21;2 John 1:1-1:13
171,3 John 1:1-1:14;Jude 1:1-1:25
172,Rev. 1:1-2:29
173,Rev. 3:1-5:14
174,Rev. 6:1-8:13
175,Rev. 9:1-10:11
176,Rev. 11:1-12:18
177,Rev. 13:1-14:20
178,Rev. 15:1-16:21
179,Rev. 17:1-18:24
180,Rev. 19:1-19:21
181,Rev. 20:1-20:15
182,Rev. 21:1-21:27
183,Rev. 22:1-22:21
